n x px y py t pt w sx sy sz
0 -0.00027347052530446827 -0.0002894856298781684 0.0013059217027667075 -0.0005469410506089363 0.0 0.0 1.0 1.075247649987305e-05 0.9996923136937367 0.024804794416555923
1 -0.0005469410506089365 -0.0005789712597563368 0.002611843405533415 -0.0010938821012178726 0.0 0.0 1.0 4.301536462887556e-05 0.9987694182948887 0.04959483066376831
2 -0.001093882101217873 -0.0011579425195126737 0.00522368681106683 -0.0021877642024357453 0.0 0.0 1.0 0.00017214880162221731 0.9950802895304124 0.09907162940449156
3 -0.002187764202435746 -0.0023158850390253474 0.01044737362213366 -0.0043755284048714906 0.0 0.0 1.0 0.0006899930092637151 0.9803630215987655 0.1972000755359534
4 -0.004375528404871492 -0.004631770078050695 0.02089474724426732 -0.008751056809742981 0.0 0.0 1.0 0.002782354563913154 0.9221219778293326 0.38688928197509015
5 -0.008751056809742985 -0.00926354015610139 0.04178949448853464 -0.017502113619485962 0.0 0.0 1.0 0.01148808813897136 0.6992002775045557 0.7148335440985288
6 -0.01750211361948597 -0.01852708031220278 0.08357898897706928 -0.035004227238971924 0.0 0.0 1.0 0.051596532861898484 -0.034571633873804325 0.9980694364261066
